dataSetId	FileName	Clade	SpeciesFull	SpeciesShort	Abbreviation	Assembly	SeqType	CellTissue	Treatment	MainAccession	SubAccession	SRPaccession	SRAaccession	CitationForShort	Citation	PubMedID	Title
DEHSA0016	HEK293_repA_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	HEK293	uncapped/cleaved RNA, rep1	GSE47121	GSM1145329	SRP022925	SRX283761	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEHSA0017	HEK293_repB_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	HEK293	uncapped/cleaved RNA, rep2	GSE47121	GSM1145330	SRP022925	SRX283762	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEHSA0018	Hela_repA_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	HeLa	uncapped/cleaved RNA, rep1	GSE47121	GSM1145331	SRP022925	SRX283763	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEHSA0019	Hela_repB_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	HeLa	uncapped/cleaved RNA, rep2	GSE47121	GSM1145332	SRP022925	SRX283764	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEHSA0020	K562_repA_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	K562	uncapped/cleaved RNA, rep1	GSE47121	GSM1145333	SRP022925	SRX283765	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEHSA0021	K562_repB_merge_miRNAsites_final.txt	mammal	Homo sapiens	human	hsa	hg19	GMUCT	K562	uncapped/cleaved RNA, rep2	GSE47121	GSM1145334	SRP022925	SRX283766	Willmann MR, et al. Methods 2014	Willmann MR, Berkowitz ND, Gregory BD. Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0. Methods 2014 May 1;67(1):64-73.	23867340	Improved genome-wide mapping of uncapped and cleaved transcripts in eukaryotes--GMUCT 2.0
DEHVU0001	Golden_Promise_grain_5DPA_merge_miRNAsites_final.txt	monocots	Hordeum vulgare	barley	hvu	IBSC-1.0	PARE	Golden Promise grain	1-5 day post anthesis	GSE38755	GSM949160	SRP013764	SRX154723	Curaba J, et al. BMC Plant Biol 2012	Curaba J, Spriggs A, Taylor J, Li Z et al. miRNA regulation in the early development of barley seed. BMC Plant Biol 2012 Jul 28;12:120. 	22838835	miRNA regulation in the early development of barley seed
DEHVU0002	Golden_Promise_grain_10DPA_merge_miRNAsites_final.txt	monocots	Hordeum vulgare	barley	hvu	IBSC-1.0	PARE	Golden Promise grain	6-10 day post anthesis	GSE38755	GSM949161	SRP013764	SRX154724	Curaba J, et al. BMC Plant Biol 2012	Curaba J, Spriggs A, Taylor J, Li Z et al. miRNA regulation in the early development of barley seed. BMC Plant Biol 2012 Jul 28;12:120. 	22838835	miRNA regulation in the early development of barley seed
DEHVU0003	Golden_Promise_grain_15DPA_merge_miRNAsites_final.txt	monocots	Hordeum vulgare	barley	hvu	IBSC-1.0	PARE	Golden Promise grain	11-15 day post anthesis	GSE38755	GSM949162	SRP013764	SRX154725	Curaba J, et al. BMC Plant Biol 2012	Curaba J, Spriggs A, Taylor J, Li Z et al. miRNA regulation in the early development of barley seed. BMC Plant Biol 2012 Jul 28;12:120. 	22838835	miRNA regulation in the early development of barley seed
DEMTR0001	Jemalong_A17_root_AM_merge_miRNAsites_final.txt	eudicots	Medicago truncatula	M. truncatula	mtr	MedtrA17-3.5	PARE	root	Jemalong A17, arbuscular mycorrhizal symbiosis	GSE26217	GSM643817	SRP004970	SRX036739	Devers EA, et al. Plant Physiol 2011	Devers EA, Branscheid A, May P, Krajinski F. Stars and symbiosis: microRNA- and microRNA*-mediated transcript cleavage involved in arbuscular mycorrhizal symbiosis. Plant Physiol 2011 Aug;156(4):1990-2010.	21571671	Stars and symbiosis: microRNA- and microRNA*-mediated transcript cleavage involved in arbuscular mycorrhizal symbiosis
DEMTR0002	Jemalong_A17_root_non-AM_merge_miRNAsites_final.txt	eudicots	Medicago truncatula	M. truncatula	mtr	MedtrA17-3.5	PARE	root	Jemalong A17, no arbuscular mycorrhizal symbiosis	GSE26217	GSM643818	SRP004970	SRX036740	Devers EA, et al. Plant Physiol 2011	Devers EA, Branscheid A, May P, Krajinski F. Stars and symbiosis: microRNA- and microRNA*-mediated transcript cleavage involved in arbuscular mycorrhizal symbiosis. Plant Physiol 2011 Aug;156(4):1990-2010.	21571671	Stars and symbiosis: microRNA- and microRNA*-mediated transcript cleavage involved in arbuscular mycorrhizal symbiosis
DEMTR0003	Jemalong_A17_flower_merge_miRNAsites_final.txt	eudicots	Medicago truncatula	M. truncatula	mtr	MedtrA17-3.5	PARE	flower	Jemalong A17, total RNA	GSE31061	GSM769293	SRP007610	SRX087148	Zhai et al. Genes Dev 2011	Zhai J, Jeong DH, De Paoli E, Park S et al. MicroRNAs as master regulators of the plant NB-LRR defense gene family via the production of phased, trans-acting siRNAs. Genes Dev 2011 Dec 1;25(23):2540-53	22156213	MicroRNAs as master regulators of the plant NB-LRR defense gene family via the production of phased, trans-acting siRNAs
DEMMU0001	WT_ES_rep1_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	ESC	wild-type, rep1	GSE21975	GSM546445	SRP002543	SRX021446	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEMMU0002	WT_ES_rep2_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	ESC	wild-type, rep2	GSE21975	GSM546446	SRP002543	SRX021447	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEMMU0003	WT_ES_rep3_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	ESC	wild-type, rep3	GSE21975	GSM546447	SRP002543	SRX021448	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEMMU0004	WT_ES_rep4_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	ESC	wild-type, rep4	GSE21975	GSM546448	SRP002543	SRX021449	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEMMU0005	WT_ES_rep5_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	ESC	wild-type, rep5	GSE21975	GSM546449	SRP002543	SRX021450	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEMMU0006	WT_ES_rep6_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	ESC	wild-type, rep6	GSE21975	GSM546450	SRP002543	SRX021451	Karginov FV, et al. Mol Cell 2010	Karginov FV, Cheloufi S, Chong MM, Stark A et al. Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases. Mol Cell 2010 Jun 25;38(6):781-8	20620951	Diverse endonucleolytic cleavage sites in the mammalian transcriptome depend upon microRNAs, Drosha, and additional nucleases
DEMMU0007	Testes_Miwi_control_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	Testes	Adult, Miwi +/-, C57BL/6	GSE32184	GSM822765	SRP009270	SRX105278	Reuter M,et al. Nature 2011	Reuter M, Berninger P, Chuma S, Shah H et al. Miwi catalysis is required for piRNA amplification-independent LINE1 transposon silencing. Nature 2011 Nov 27;480(7376):264-7.	22121019	Miwi catalysis is required for piRNA amplification-independent LINE1 transposon silencing
DEMMU0008	Testes_Miwi_catalytic_mutant_merge_miRNAsites_final.txt	mammal	Mus musculus	mouse	mmu	mm10	GMUCT	Testes	Adult, Miwi -/ADH, C57BL/6	GSE32184	GSM822766	SRP009270	SRX105279	Reuter M,et al. Nature 2011	Reuter M, Berninger P, Chuma S, Shah H et al. Miwi catalysis is required for piRNA amplification-independent LINE1 transposon silencing. Nature 2011 Nov 27;480(7376):264-7.	22121019	Miwi catalysis is required for piRNA amplification-independent LINE1 transposon silencing
DENVE0001	wild_type_primary_polyp_repA_merge_miRNAsites_final.txt	cnidaria	Nematostella vectensis	N. vectensis	nve	ASM20922v1	GMUCT	primary polyp	wild-type, rep1	-	-	SRP000409 	SRX246915	Moran Y, et al. Genome Res. 2014	Moran Y, Fredman D, Praher D, Li XZ, Wee LM, Rentzsch F, Zamore PD, Technau U, Seitz H. Cnidarian microRNAs frequently regulate targets by cleavage. Genome Res. 2014 Apr;24(4):651-63.	24642861	Cnidarian microRNAs frequently regulate targets by cleavage
DENVE0002	wild_type_primary_polyp_repB_merge_miRNAsites_final.txt	cnidaria	Nematostella vectensis	N. vectensis	nve	ASM20922v1	GMUCT	primary polyp	wild-type, rep2	-	-	SRP000409 	SRX246979	Moran Y, et al. Genome Res. 2014	Moran Y, Fredman D, Praher D, Li XZ, Wee LM, Rentzsch F, Zamore PD, Technau U, Seitz H. Cnidarian microRNAs frequently regulate targets by cleavage. Genome Res. 2014 Apr;24(4):651-63.	24642861	Cnidarian microRNAs frequently regulate targets by cleavage
DEORU0001	Dongxiang_leaf_merge_miRNAsites_final.txt	monocots	Oryza rufipogon	O. rufipogon	oru	PRJEB4137	PARE	Dongxiang, leaf	4-leaf stage seedlings	GSE39307	GSM960648	SRP014309	SRX159729	Wang Y, et al. New Phytol 2012	Wang Y, Bai X, Yan C, Gui Y et al. Genomic dissection of small RNAs in wild rice (Oryza rufipogon): lessons for rice domestication. New Phytol 2012 Nov;196(3):914-25.	22994911	Genomic dissection of small RNAs in wild rice (Oryza rufipogon): lessons for rice domestication
DEOSI0001	indica_inflorescence_merge_miRNAsites_final.txt	monocots	Oryza sativa L. ssp. indica	indica Rice	osi	ASM465v1	PARE	inflorescence	young	GSE19050	GSM476257	SRP001724	SRX015779	Ming Zhou, et al. Frontiers of Biology. Volume 5, Number 1 / February, 2010	Ming Zhou, Lianfeng Gu, Pingchuan Li, Xianwei Song, Liya Wei, Zhiyu Chen and Xiaofeng Cao. Degradome sequencing reveals endogenous small RNA targets in rice (Oryza sativa L. ssp. indica). Frontiers of Biology. Volume 5, Number 1 / February, 2010.	http://www.springerlink.com/content/g27h765u5ll8667n/	Degradome sequencing reveals endogenous small RNA targets in rice (Oryza sativa L. ssp. indica)
DEOSJ0001	japonica_seedling_merge_miRNAsites_final.txt	monocots	Oryza sativa L. ssp. japonica	japonica Rice	osj	IRGSP-1.0	PARE	seedling	Three week-old rice seedlings grown on hydropic culture at 25 C with 16h/8h light/dark cycle	GSE17398	GSM434596	SRP002288	SRX019048	Li YF, et al. Plant J 2010	Li YF, Zheng Y, Addo-Quaye C, Zhang L et al. Transcriptome-wide identification of microRNA targets in rice. Plant J 2010 Jun 1;62(5):742-59. 	20202174	Transcriptome-wide identification of microRNA targets in rice
DEOSJ0002	japonica_seedling_3-week_merge_miRNAsites_final.txt	monocots	Oryza sativa L. ssp. japonica	japonica Rice	osj	IRGSP-1.0	PARE	seedling	3-week-old seedling	GSE18248	GSM455938	SRP001553	SRX014802	Wu L, et al.Plant Cell 2009	Wu L, Zhang Q, Zhou H, Ni F et al. Rice MicroRNA effector complexes and targets. Plant Cell 2009 Nov;21(11):3421-35.	19903869	Rice MicroRNA effector complexes and targets
DEOSJ0003	japonica_inflorescence_merge_miRNAsites_final.txt	monocots	Oryza sativa L. ssp. japonica	japonica Rice	osj	IRGSP-1.0	PARE	inflorescence	young panicle	GSE18248	GSM455939	SRP001553	SRX014803	Wu L, et al.Plant Cell 2009	Wu L, Zhang Q, Zhou H, Ni F et al. Rice MicroRNA effector complexes and targets. Plant Cell 2009 Nov;21(11):3421-35.	19903869	Rice MicroRNA effector complexes and targets
DEPPA0001	wild_type_protonemata_merge_miRNAsites_final.txt	bryopsida	Physcomitrella patens	P. patens	ppa	ASM242v1	PARE	protonemata	10-day old	GSE16367	GSM410805	SRP001756	SRX016015	Addo-Quaye C, et al. RNA 2009	Addo-Quaye C, Snyder JA, Park YB, Li YF et al. Sliced microRNA targets and precise loop-first processing of MIR319 hairpins revealed by analysis of the Physcomitrella patens degradome. RNA 2009 Dec;15(12):2112-21. 	19850910	Sliced microRNA targets and precise loop-first processing of MIR319 hairpins revealed by analysis of the Physcomitrella patens degradome
DEPPE0001	Lovell_mixed_tissue_merge_miRNAsites_final.txt	eudicots	Prunus persica	peach	ppe	Prupe1_0	PARE	Lovell, mixed tissues	mixed stage	GSE38535	GSM944975	SRP013569	SRX151800	Zhu H, et al. BMC Plant Biol. 2012	Zhu H, Xia R, Zhao B, An YQ, Dardick CD, Callahan AM, Liu Z. Unique expression, processing regulation, and regulatory network of peach (Prunus persica) miRNAs. BMC Plant Biol. 2012 Aug 21;12:149.	22909020	Unique expression, processing regulation, and regulatory network of peach (Prunus persica) miRNAs
DESLY0001	MicroTom_leaf_merge_miRNAsites_final.txt	eudicots	Solanum lycopersicum	tomato	sly	SL2.40	PARE	leaf	Micro-Tom	GSE22236	GSM553688	SRP013569	SRX021939	Lopez-Gomollon S, et al. Planta 2012	Lopez-Gomollon S, Mohorianu I, Szittya G, Moulton V et al. Diverse correlation patterns between microRNAs and their targets during tomato fruit development indicates different modes of microRNA actions. Planta 2012 Dec;236(6):1875-87.	22922939	Diverse correlation patterns between microRNAs and their targets during tomato fruit development indicates different modes of microRNA actions
DESLY0002	MicroTom_flower_merge_miRNAsites_final.txt	eudicots	Solanum lycopersicum	tomato	sly	SL2.40	PARE	flower	Micro-Tom	GSE22236	GSM553689	SRP002599	SRX021940	Lopez-Gomollon S, et al. Planta 2012	Lopez-Gomollon S, Mohorianu I, Szittya G, Moulton V et al. Diverse correlation patterns between microRNAs and their targets during tomato fruit development indicates different modes of microRNA actions. Planta 2012 Dec;236(6):1875-87.	22922939	Diverse correlation patterns between microRNAs and their targets during tomato fruit development indicates different modes of microRNA actions
DESLY0003	MicroTom_green_fruit_merge_miRNAsites_final.txt	eudicots	Solanum lycopersicum	tomato	sly	SL2.40	PARE	green fruit	Micro-Tom, 10-15mm diameter	GSE22236	GSM553690	SRP002599	SRX021941	Lopez-Gomollon S, et al. Planta 2012	Lopez-Gomollon S, Mohorianu I, Szittya G, Moulton V et al. Diverse correlation patterns between microRNAs and their targets during tomato fruit development indicates different modes of microRNA actions. Planta 2012 Dec;236(6):1875-87.	22922939	Diverse correlation patterns between microRNAs and their targets during tomato fruit development indicates different modes of microRNA actions
DESLY0004	AC_5DAP_merge_miRNAsites_final.txt	eudicots	Solanum lycopersicum	tomato	sly	SL2.40	PARE	whole fruit	Ailsa Craig, 5 days after pollination	GSE42661	GSM1047560	SRP017377	SRX207913	Karlova R, et al. J Exp Bot 2013	Karlova R, van Haarst JC, Maliepaard C, van de Geest H et al. Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis. J Exp Bot 2013 Apr;64(7):1863-78.	23487304	Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis
DESLY0005	AC_MG_merge_miRNAsites_final.txt	eudicots	Solanum lycopersicum	tomato	sly	SL2.40	PARE	whole fruit	Ailsa Craig, mature green	GSE42661	GSM1047561	SRP017377	SRX207914	Karlova R, et al. J Exp Bot 2013	Karlova R, van Haarst JC, Maliepaard C, van de Geest H et al. Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis. J Exp Bot 2013 Apr;64(7):1863-78.	23487304	Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis
DESLY0006	AC_Br_merge_miRNAsites_final.txt	eudicots	Solanum lycopersicum	tomato	sly	SL2.40	PARE	whole fruit	Ailsa Craig, breaker	GSE42661	GSM1047562	SRP017377	SRX207915	Karlova R, et al. J Exp Bot 2013	Karlova R, van Haarst JC, Maliepaard C, van de Geest H et al. Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis. J Exp Bot 2013 Apr;64(7):1863-78.	23487304	Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis
DESLY0007	AC_RR_merge_miRNAsites_final.txt	eudicots	Solanum lycopersicum	tomato	sly	SL2.40	PARE	whole fruit	Ailsa Craig, 7 days after breaker	GSE42661	GSM1047563	SRP017377	SRX207916	Karlova R, et al. J Exp Bot 2013	Karlova R, van Haarst JC, Maliepaard C, van de Geest H et al. Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis. J Exp Bot 2013 Apr;64(7):1863-78.	23487304	Identification of microRNA targets in tomato fruit development using high-throughput sequencing and degradome analysis
DETAE0001	TGMS_spike_cold_merge_miRNAsites_final.txt	monocots	Triticum aestivum	weat	tae	IWGSP1	PARE	spike	TGMS, cold treatment	GSE37134	GSM911923	SRP012140	SRX139799	Tang Z, et al. Plant Physiol 2012	Tang Z, Zhang L, Xu C, Yuan S et al. Uncovering small RNA-mediated responses to cold stress in a wheat thermosensitive genic male-sterile line by deep sequencing. Plant Physiol 2012 Jun;159(2):721-38. 	22508932	Uncovering small RNA-mediated responses to cold stress in a wheat thermosensitive genic male-sterile line by deep sequencing
DETAE0002	TGMS_spike_control_merge_miRNAsites_final.txt	monocots	Triticum aestivum	weat	tae	IWGSP1	PARE	spike	TGMS, control	GSE37134	GSM911924	SRP012140	SRX139800	Tang Z, et al. Plant Physiol 2012	Tang Z, Zhang L, Xu C, Yuan S et al. Uncovering small RNA-mediated responses to cold stress in a wheat thermosensitive genic male-sterile line by deep sequencing. Plant Physiol 2012 Jun;159(2):721-38. 	22508932	Uncovering small RNA-mediated responses to cold stress in a wheat thermosensitive genic male-sterile line by deep sequencing
DEVVI0001	ENTAV115_leaf_stem_merge_miRNAsites_final.txt	eudicots	Vitis vinifera	grape	vvi	IGGP_12x	PARE	leaves and stem	Vitis vinifera cv. Pinot noir, clone ENTAV115	GSE18406	GSM458931	SRP002309	SRX019212	Pantaleo V, et al. Plant J 2010	Pantaleo V, Szittya G, Moxon S, Miozzi L et al. Identification of grapevine microRNAs and their targets using high-throughput sequencing and degradome analysis. Plant J 2010 Jun 1;62(6):960-76.	20230504	Identification of grapevine microRNAs and their targets using high-throughput sequencing and degradome analysis
DEZMA0001	B73_root_optimal_N_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	root tip	B73, optimal nitrate	-	-	SRP018376 	SRX222266	Zhao Y, et al. Ann Bot. 2013	Zhao Y, Xu Z, Mo Q, Zou C, Li W, Xu Y, Xie C. Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize. Ann Bot. 2013 Aug;112(3):633-42.	23788746	Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize
DEZMA0002	B73_root_low_N_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	root tip	B73, low nitrate	-	-	SRP018376 	SRX222264	Zhao Y, et al. Ann Bot. 2013	Zhao Y, Xu Z, Mo Q, Zou C, Li W, Xu Y, Xie C. Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize. Ann Bot. 2013 Aug;112(3):633-42.	23788746	Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize
DEZMA0003	B73_leaf_low_N_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	leaf	B73, low nitrate	-	-	SRP018376 	SRX222262	Zhao Y, et al. Ann Bot. 2013	Zhao Y, Xu Z, Mo Q, Zou C, Li W, Xu Y, Xie C. Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize. Ann Bot. 2013 Aug;112(3):633-42.	23788746	Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize
DEZMA0004	B73_leaf_optimal_N_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	leaf	B73, optimal nitrate	-	-	SRP018376 	SRX222260	Zhao Y, et al. Ann Bot. 2013	Zhao Y, Xu Z, Mo Q, Zou C, Li W, Xu Y, Xie C. Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize. Ann Bot. 2013 Aug;112(3):633-42.	23788746	Combined small RNA and degradome sequencing reveals novel miRNAs and their targets in response to low nitrate availability in maize
DEZMA0005	B73_ear_inflorescence_GPEP_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	ear (female inflorescence)	B73, growth point elongation phase	GSE47837	GSM1160279	SRP025172	SRX300975	Liu H, et al. BMC Genomics 2014	Liu H, Qin C, Chen Z, Zuo T et al. Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing.BMC Genomics 2014 Jan 14;15:25.	24422852	Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing
DEZMA0006	B73_ear_inflorescence_SDP_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	ear (female inflorescence)	B73, spikelet differentiation phase	GSE47837	GSM1160280	SRP025172	SRX300976	Liu H, et al. BMC Genomics 2014	Liu H, Qin C, Chen Z, Zuo T et al. Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing.BMC Genomics 2014 Jan 14;15:25.	24422852	Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing
DEZMA0007	B73_ear_inflorescence_FPDP_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	ear (female inflorescence)	B73, floret primordium differentiation phase	GSE47837	GSM1160281	SRP025172	SRX300977	Liu H, et al. BMC Genomics 2014	Liu H, Qin C, Chen Z, Zuo T et al. Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing.BMC Genomics 2014 Jan 14;15:25.	24422852	Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing
DEZMA0008	B73_ear_inflorescence_FODP_merge_miRNAsites_final.txt	monocots	Zea mays	Z. mays	zma	AGPv3	PARE	ear (female inflorescence)	B73, floret organ differentiation phase	GSE47837	GSM1160282	SRP025172	SRX300978	Liu H, et al. BMC Genomics 2014	Liu H, Qin C, Chen Z, Zuo T et al. Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing.BMC Genomics 2014 Jan 14;15:25.	24422852	Identification of miRNAs and their target genes in developing maize ears by combined small RNA and degradome sequencing
